ID,Название отеля,Количество звезд,ID страны
1,Hotel Artemide,5,9
2,H10 Madison,4,10
3,A Room With A View,3,9
4,Hotel Rec Barcelona,5,9
5,Aydinli Cave Hotel,2,9
6,Titanic Business Kartal,3,9
7,Amber Design Residence,3,10
8,Hotel Al Ponte Mocenigo,5,19
9,La Cachette,4,19
10,Celsus Boutique Hotel,3,11
11,Ashford Castle,2,19
12,Agarta Cave Hotel,5,11
13,Sofitel Grand Sopot,5,10
14,Grand Resort Bad Ragaz,4,19
15,Kelebek Special Cave Hotel,5,11
16,A Room With A View,3,11
17,Aren Cave Hotel & Art Gallery,5,12
18,La Cachette,4,19
19,Castle Hotel Auf Schoenburg,3,12
20,Lawton & Lauriston Court Hotel,5,11
21,Elif Hanim Hotel & Spa,3,19
22,A Room With A View,3,9
23,Boutique Hotel Sierra de Alicante,3,19
24,Van der Valk Hotel Hoorn,4,19
25,Up Hotel,5,19
26,Dere Suites,5,10
27,Park Dedeman Trabzon,3,19
28,Duven Hotel,5,10
29,Elif Hanim Hotel & Spa,3,19
30,Bandholm Hotel,2,12
31,Boutique Hotel El Cresol,4,14
32,Perimasali Cave Hotel - Cappadocia,3,14
33,Gul Konaklari - Sinasos Rose Mansions,5,14
