ID,Название тура,ID страны,Количество билетов,Цена,IsActual
1,Болгарское наследие,3,127,35700,1
2,Волшебный Восток,1,92,77100,1
3,Город с большими амбициями,7,72,93300,1
4,Город четырех ворот,7,143,72500,1
5,Горячий отдых зимой и летом,2,34,31900,0
6,Древний Минск,5,43,74900,1
7,Жемчужина Татарстана,19,224,65100,1
8,"Знакомьтесь, Амстердам!",18,283,68300,1
9,Из Алании к загадочным пещерам Алтынбешик,22,204,55900,1
10,Многоликий Сувон,17,215,62200,1
11,Москва поэтическая,19,30,53200,1
12,Незабываемый Дели,15,250,22500,1
13,Отдых на райском острове,21,51,30900,0
14,По старому Таллину,8,60,28800,1
15,Прекрасные острова Греции,13,120,53700,0
16,Романтика белых ночей и разводных мостов,19,101,54900,1
17,Свидание с Хельсинки,10,161,49100,1
18,Сердце Ирана,16,99,71400,1
19,Сердце Северной Карелии,10,25,62000,1
20,Старый город,20,38,25600,1
21,Столица страны Утренней Свежести,17,292,27600,1
22,Страна идеальной гармонии,6,223,28700,1
23,Страна удивительных контрастов,23,286,50900,0
24,Урбанистическая Бразилия,4,22,80900,1
25,Финская крепость,10,115,70700,1
26,Финский романтизм,10,289,93600,1
